Behavior,Date ,Class,Bus,Family dinner,Park,Place of worship,Job interview,Sidewalk,Movies,Bar,Elevator,Restroom,Own room,Dorm lounge,Football game
Run,4.206896552,1.793103448,2.068965517,1.827586207,8.551724138,1.413793103,1.344827586,7.034482759,1.137931034,2.551724138,1.137931034,1.689655172,6.24137931,3.24137931,5.551724138
Talk,8.827586207,5.379310345,7.034482759,8.413793103,8.620689655,3.655172414,8.724137931,7.827586207,2.034482759,8.655172414,6.827586207,6.034482759,8.965517241,7.689655172,7.75862069
Kiss,7.931034483,1.551724138,4.344827586,4.103448276,7.517241379,2.206896552,1.172413793,6.137931034,5.931034483,7.068965517,4.896551724,3.344827586,8.586206897,5.379310345,5.103448276
Write,5.103448276,8.724137931,7,3.068965517,7.517241379,6.137931034,5.655172414,3.931034483,3.379310345,5.862068966,4.620689655,3.931034483,8.965517241,8.344827586,3.862068966
Eat,8.137931034,3.448275862,4.896551724,8.931034483,8.379310345,2.103448276,1.724137931,5.896551724,6.24137931,8.724137931,3.689655172,2.448275862,8.275862069,7,6.103448276
Sleep,2.448275862,2.275862069,7.310344828,1.896551724,6.896551724,2.586206897,1.103448276,2.413793103,5.517241379,3.448275862,1.931034483,3.310344828,9,6.586206897,2.793103448
Mumble,3.206896552,3.793103448,5.862068966,4.103448276,6.551724138,4.965517241,1.75862069,5.827586207,4.068965517,4.931034483,4.827586207,4.379310345,8.103448276,5.827586207,5.103448276
Read,4.586206897,8.172413793,8.068965517,3.448275862,8.310344828,7.551724138,5,4.689655172,3.379310345,6.344827586,6.689655172,5.827586207,9,8.379310345,4.103448276
Fight,1.862068966,1.275862069,1.344827586,1.862068966,3,1.103448276,1.068965517,2.275862069,1.103448276,2.517241379,1.24137931,1.551724138,5.206896552,2.137931034,4.413793103
Burp,2.413793103,2.068965517,2.724137931,4.103448276,5.310344828,1.448275862,1.586206897,4.172413793,2,4.586206897,1.793103448,4.275862069,7.965517241,3.344827586,4.655172414
Argue,4.034482759,4.068965517,3.275862069,4.862068966,5.24137931,1.413793103,3.034482759,4.862068966,1.517241379,4.724137931,2.896551724,3.034482759,7.689655172,4.24137931,5.827586207
Jump,4.586206897,2.068965517,2.310344828,2.517241379,8,1.586206897,1.275862069,5.689655172,1.24137931,3.620689655,1.413793103,2.448275862,7.103448276,3.448275862,7.172413793
Cry,3.689655172,2.827586207,4.24137931,3.965517241,6.137931034,4.344827586,1.724137931,5.172413793,5.655172414,5,3.24137931,4.965517241,8.413793103,4.827586207,5.931034483
Laugh,8.379310345,4.724137931,6.620689655,8.103448276,8.482758621,2.827586207,5.344827586,7.482758621,6.310344828,8.275862069,6.137931034,4.862068966,8.827586207,7.379310345,7.827586207
Shout,2.75862069,1.862068966,1.931034483,3,5.137931034,1.344827586,1.275862069,3.965517241,1.413793103,5.137931034,1.931034483,2.034482759,7.24137931,3.034482759,8.310344828