Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Binomial
1,5.1,3.5,1.4,0.2,Iris-setosa,True
2,4.9,3.0,1.4,0.2,Iris-setosa,True
3,4.7,3.2,1.3,0.2,Iris-setosa,False
4,4.6,3.1,1.5,0.2,Iris-setosa,True
5,5.0,3.6,1.4,0.2,Iris-setosa,True
6,5.4,3.9,1.7,0.4,Iris-setosa,False
7,4.6,3.4,1.4,0.3,Iris-setosa,False
8,5.0,3.4,1.5,0.2,Iris-setosa,False
9,4.4,2.9,1.4,0.2,Iris-setosa,False
10,4.9,3.1,1.5,0.1,Iris-setosa,True
11,5.4,3.7,1.5,0.2,Iris-setosa,True
12,4.8,3.4,1.6,0.2,Iris-setosa,True
13,4.8,3.0,1.4,0.1,Iris-setosa,False
14,4.3,3.0,1.1,0.1,Iris-setosa,True
15,5.8,4.0,1.2,0.2,Iris-setosa,True
16,5.7,4.4,1.5,0.4,Iris-setosa,True
17,5.4,3.9,1.3,0.4,Iris-setosa,False
18,5.1,3.5,1.4,0.3,Iris-setosa,True
19,5.7,3.8,1.7,0.3,Iris-setosa,False
20,5.1,3.8,1.5,0.3,Iris-setosa,True
21,5.4,3.4,1.7,0.2,Iris-setosa,True
22,5.1,3.7,1.5,0.4,Iris-setosa,False
23,4.6,3.6,1.0,0.2,Iris-setosa,False
24,5.1,3.3,1.7,0.5,Iris-setosa,True
25,4.8,3.4,1.9,0.2,Iris-setosa,True
26,5.0,3.0,1.6,0.2,Iris-setosa,True
27,5.0,3.4,1.6,0.4,Iris-setosa,False
28,5.2,3.5,1.5,0.2,Iris-setosa,True
29,5.2,3.4,1.4,0.2,Iris-setosa,True
30,4.7,3.2,1.6,0.2,Iris-setosa,True
31,4.8,3.1,1.6,0.2,Iris-setosa,False
32,5.4,3.4,1.5,0.4,Iris-setosa,True
33,5.2,4.1,1.5,0.1,Iris-setosa,True
34,5.5,4.2,1.4,0.2,Iris-setosa,True
35,4.9,3.1,1.5,0.1,Iris-setosa,False
36,5.0,3.2,1.2,0.2,Iris-setosa,True
37,5.5,3.5,1.3,0.2,Iris-setosa,True
38,4.9,3.1,1.5,0.1,Iris-setosa,True
39,4.4,3.0,1.3,0.2,Iris-setosa,True
40,5.1,3.4,1.5,0.2,Iris-setosa,True
41,5.0,3.5,1.3,0.3,Iris-setosa,False
42,4.5,2.3,1.3,0.3,Iris-setosa,True
43,4.4,3.2,1.3,0.2,Iris-setosa,True
44,5.0,3.5,1.6,0.6,Iris-setosa,True
45,5.1,3.8,1.9,0.4,Iris-setosa,True
46,4.8,3.0,1.4,0.3,Iris-setosa,False
47,5.1,3.8,1.6,0.2,Iris-setosa,True
48,4.6,3.2,1.4,0.2,Iris-setosa,False
49,5.3,3.7,1.5,0.2,Iris-setosa,True
50,5.0,3.3,1.4,0.2,Iris-setosa,True
51,7.0,3.2,4.7,1.4,Iris-versicolor,False
52,6.4,3.2,4.5,1.5,Iris-versicolor,False
53,6.9,3.1,4.9,1.5,Iris-versicolor,True
54,5.5,2.3,4.0,1.3,Iris-versicolor,True
55,6.5,2.8,4.6,1.5,Iris-versicolor,True
56,5.7,2.8,4.5,1.3,Iris-versicolor,False
57,6.3,3.3,4.7,1.6,Iris-versicolor,True
58,4.9,2.4,3.3,1.0,Iris-versicolor,False
59,6.6,2.9,4.6,1.3,Iris-versicolor,False
60,5.2,2.7,3.9,1.4,Iris-versicolor,True
61,5.0,2.0,3.5,1.0,Iris-versicolor,False
62,5.9,3.0,4.2,1.5,Iris-versicolor,False
63,6.0,2.2,4.0,1.0,Iris-versicolor,True
64,6.1,2.9,4.7,1.4,Iris-versicolor,False
65,5.6,2.9,3.6,1.3,Iris-versicolor,False
66,6.7,3.1,4.4,1.4,Iris-versicolor,True
67,5.6,3.0,4.5,1.5,Iris-versicolor,True
68,5.8,2.7,4.1,1.0,Iris-versicolor,False
69,6.2,2.2,4.5,1.5,Iris-versicolor,True
70,5.6,2.5,3.9,1.1,Iris-versicolor,True
71,5.9,3.2,4.8,1.8,Iris-versicolor,False
72,6.1,2.8,4.0,1.3,Iris-versicolor,False
73,6.3,2.5,4.9,1.5,Iris-versicolor,True
74,6.1,2.8,4.7,1.2,Iris-versicolor,False
75,6.4,2.9,4.3,1.3,Iris-versicolor,True
76,6.6,3.0,4.4,1.4,Iris-versicolor,False
77,6.8,2.8,4.8,1.4,Iris-versicolor,True
78,6.7,3.0,5.0,1.7,Iris-versicolor,True
79,6.0,2.9,4.5,1.5,Iris-versicolor,True
80,5.7,2.6,3.5,1.0,Iris-versicolor,False
81,5.5,2.4,3.8,1.1,Iris-versicolor,False
82,5.5,2.4,3.7,1.0,Iris-versicolor,False
83,5.8,2.7,3.9,1.2,Iris-versicolor,True
84,6.0,2.7,5.1,1.6,Iris-versicolor,True
85,5.4,3.0,4.5,1.5,Iris-versicolor,True
86,6.0,3.4,4.5,1.6,Iris-versicolor,True
87,6.7,3.1,4.7,1.5,Iris-versicolor,False
88,6.3,2.3,4.4,1.3,Iris-versicolor,True
89,5.6,3.0,4.1,1.3,Iris-versicolor,False
90,5.5,2.5,4.0,1.3,Iris-versicolor,False
91,5.5,2.6,4.4,1.2,Iris-versicolor,False
92,6.1,3.0,4.6,1.4,Iris-versicolor,True
93,5.8,2.6,4.0,1.2,Iris-versicolor,True
94,5.0,2.3,3.3,1.0,Iris-versicolor,True
95,5.6,2.7,4.2,1.3,Iris-versicolor,True
96,5.7,3.0,4.2,1.2,Iris-versicolor,True
97,5.7,2.9,4.2,1.3,Iris-versicolor,True
98,6.2,2.9,4.3,1.3,Iris-versicolor,False
99,5.1,2.5,3.0,1.1,Iris-versicolor,True
100,5.7,2.8,4.1,1.3,Iris-versicolor,True
101,6.3,3.3,6.0,2.5,Iris-virginica,True
102,5.8,2.7,5.1,1.9,Iris-virginica,False
103,7.1,3.0,5.9,2.1,Iris-virginica,True
104,6.3,2.9,5.6,1.8,Iris-virginica,True
105,6.5,3.0,5.8,2.2,Iris-virginica,True
106,7.6,3.0,6.6,2.1,Iris-virginica,True
107,4.9,2.5,4.5,1.7,Iris-virginica,True
108,7.3,2.9,6.3,1.8,Iris-virginica,False
109,6.7,2.5,5.8,1.8,Iris-virginica,True
110,7.2,3.6,6.1,2.5,Iris-virginica,False
111,6.5,3.2,5.1,2.0,Iris-virginica,True
112,6.4,2.7,5.3,1.9,Iris-virginica,True
113,6.8,3.0,5.5,2.1,Iris-virginica,False
114,5.7,2.5,5.0,2.0,Iris-virginica,True
115,5.8,2.8,5.1,2.4,Iris-virginica,True
116,6.4,3.2,5.3,2.3,Iris-virginica,True
117,6.5,3.0,5.5,1.8,Iris-virginica,True
118,7.7,3.8,6.7,2.2,Iris-virginica,False
119,7.7,2.6,6.9,2.3,Iris-virginica,False
120,6.0,2.2,5.0,1.5,Iris-virginica,False
121,6.9,3.2,5.7,2.3,Iris-virginica,False
122,5.6,2.8,4.9,2.0,Iris-virginica,True
123,7.7,2.8,6.7,2.0,Iris-virginica,True
124,6.3,2.7,4.9,1.8,Iris-virginica,True
125,6.7,3.3,5.7,2.1,Iris-virginica,True
126,7.2,3.2,6.0,1.8,Iris-virginica,False
127,6.2,2.8,4.8,1.8,Iris-virginica,True
128,6.1,3.0,4.9,1.8,Iris-virginica,True
129,6.4,2.8,5.6,2.1,Iris-virginica,True
130,7.2,3.0,5.8,1.6,Iris-virginica,False
131,7.4,2.8,6.1,1.9,Iris-virginica,False
132,7.9,3.8,6.4,2.0,Iris-virginica,True
133,6.4,2.8,5.6,2.2,Iris-virginica,True
134,6.3,2.8,5.1,1.5,Iris-virginica,True
135,6.1,2.6,5.6,1.4,Iris-virginica,True
136,7.7,3.0,6.1,2.3,Iris-virginica,True
137,6.3,3.4,5.6,2.4,Iris-virginica,True
138,6.4,3.1,5.5,1.8,Iris-virginica,False
139,6.0,3.0,4.8,1.8,Iris-virginica,True
140,6.9,3.1,5.4,2.1,Iris-virginica,True
141,6.7,3.1,5.6,2.4,Iris-virginica,True
142,6.9,3.1,5.1,2.3,Iris-virginica,False
143,5.8,2.7,5.1,1.9,Iris-virginica,True
144,6.8,3.2,5.9,2.3,Iris-virginica,True
145,6.7,3.3,5.7,2.5,Iris-virginica,True
146,6.7,3.0,5.2,2.3,Iris-virginica,False
147,6.3,2.5,5.0,1.9,Iris-virginica,True
148,6.5,3.0,5.2,2.0,Iris-virginica,False
149,6.2,3.4,5.4,2.3,Iris-virginica,True
150,5.9,3.0,5.1,1.8,Iris-virginica,False