Identifiant station|Nom station|Station en fonctionnement|Capacité de la station|Nombre bornettes libres|Nombre total vélos disponibles|Vélos mécaniques disponibles|Vélos électriques disponibles|Borne de paiement disponible|Retour vélib possible|Actualisation de la donnée (1)|Actualisation de la donnée (2)|Coordonnées géographiques|Nom communes équipées|Code INSEE communes équipées
9020|Toudouze - Clauzel|OUI|21|18|3|0|3|OUI|OUI|2022-06-13|T15:11:22+02:00|48.87929591733507-2.3373600840568547|Paris|
16107|Benjamin Godard - Victor Hugo|OUI|35|27|5|3|2|OUI|OUI|2022-06-13|T15:09:06+02:00|48.865983-2.275725|Paris|
14014|Jourdan - Stade Charléty|OUI|60|55|4|2|2|OUI|OUI|2022-06-13|T15:04:13+02:00|48.819428333369-2.3433353751898|Paris|
11104|Charonne - Robert et Sonia Delauney|OUI|20|18|1|1|0|OUI|OUI|2022-06-13|T15:05:13+02:00|48.85590755596891-2.3925706744194035|Paris|
10013|Alibert - Jemmapes|OUI|60|52|6|2|4|OUI|OUI|2022-06-13|T15:09:35+02:00|48.8710440519842-2.366104461987773|Paris|
12109|Mairie du 12ème|OUI|30|26|3|3|0|OUI|OUI|2022-06-13|T15:10:57+02:00|48.840855311763-2.3875549435616|Paris|
33006|André Karman - République|OUI|31|21|7|4|3|OUI|OUI|2022-06-13|T15:08:43+02:00|48.91039875761846-2.3851355910301213|Aubervilliers|
5001|Harpe - Saint-Germain|OUI|45|1|43|37|6|OUI|OUI|2022-06-13|T15:11:11+02:00|48.85151881501689-2.343670316040516|Paris|
41301|Bois de Vincennes - Gare|OUI|50|32|15|7|8|OUI|OUI|2022-06-13|T15:10:52+02:00|48.836022242886884-2.4708339950830287|Nogent-sur-Marne|
8026|Messine - Place Du Pérou|OUI|12|1|10|6|4|OUI|OUI|2022-06-13|T15:09:42+02:00|48.875448033960744-2.315508019010038|Paris|
21010|Silly - Galliéni|OUI|25|16|8|7|1|OUI|OUI|2022-06-13|2022-06-13T15:08:22+02:00|48.835583838705936-2.2325500845909123|Boulogne-Billancourt|
14111|Cassini - Denfert-Rochereau|OUI|25|15|10|5|5|OUI|OUI|2022-06-13|2022-06-13T15:08:58+02:00|48.83752583906732-2.336035408079624|Paris|
6021|Beaux-Arts - Bonaparte|OUI|20|3|17|8|9|OUI|OUI|2022-06-13|2022-06-13T15:09:55+02:00|48.856451985395786-2.334851883351803|Paris|
6003|Saint-Sulpice|OUI|21|9|10|9|1|OUI|OUI|2022-06-13|2022-06-13T15:09:26+02:00|48.85165383178419-2.3308077827095985|Paris|
17026|Jouffroy d'Abbans - Wagram|OUI|40|33|6|1|5|OUI|OUI|2022-06-13|2022-06-13T15:05:25+02:00|48.881973298351625-2.301132157444954|Paris|
13007|Le Brun - Gobelins|OUI|48|45|2|1|1|OUI|OUI|2022-06-13|2022-06-13T15:07:49+02:00|48.835092787823875-2.353468135133752|Paris|
17041|Guersant - Gouvion-Saint-Cyr|OUI|36|26|8|1|7|OUI|OUI|2022-06-13|2022-06-13T15:08:37+02:00|48.88287775178599-2.287667370814871|Paris|
5110|Lacépède - Monge|OUI|23|8|12|4|8|OUI|OUI|2022-06-13|2022-06-13T15:10:44+02:00|48.84389286531899-2.3519663885235786|Paris|
7003|Square Boucicaut|OUI|60|12|45|43|2|OUI|OUI|2022-06-13|2022-06-13T15:11:02+02:00|48.851296433665276-2.325061820447445|Paris|
6108|Saint-Romain - Cherche-Midi|OUI|17|15|2|1|1|OUI|OUI|2022-06-13|2022-06-13T15:10:31+02:00|48.84708159081946-2.321374788880348|Paris|
7001|Invalides - Duroc|OUI|29|21|8|6|2|OUI|OUI|2022-06-13|2022-06-13T15:04:17+02:00|48.8477924732952-2.3161920905113225|Paris|
42016|Pierre et Marie Curie - Maurice Thorez|OUI|27|27|0|0|0|OUI|OUI|2022-06-13|2022-06-13T15:11:01+02:00|48.81580226360801-2.376804985105991|Ivry-sur-Seine|
7002|Vaneau - Sèvres|OUI|35|30|3|1|2|OUI|OUI|2022-06-13T15:04:17+02:00|2022-06-13T15:04:17+02:00|48.84856323305935-2.3204218259345537|Paris|
25006|Place Nelson Mandela|OUI|22|21|1|0|1|OUI|OUI|2022-06-13T15:10:44+02:00|2022-06-13T15:10:44+02:00|48.862090937689715-2.196576297283173|Rueil-Malmaison|
11025|Froment - Bréguet|OUI|43|24|16|9|7|OUI|OUI|2022-06-13T15:10:34+02:00|2022-06-13T15:10:34+02:00|48.8570414504784-2.37289470306807|Paris|
17038|Grande Armée - Brunel|OUI|62|13|37|12|25|OUI|OUI|2022-06-13T15:10:54+02:00|2022-06-13T15:10:54+02:00|48.876116-2.288124|Paris|
15047|Morillons - Dantzig|OUI|52|52|0|0|0|OUI|OUI|2022-06-13T15:01:32+02:00|2022-06-13T15:01:32+02:00|48.83310149953933-2.299380004405976|Paris|
5016|Thouin - Cardinal Lemoine|OUI|17|16|1|0|1|OUI|OUI|2022-06-13T15:09:39+02:00|2022-06-13T15:09:39+02:00|48.84504716661511-2.3494647851273465|Paris|
17025|Chazelles - Courcelles|OUI|35|28|6|2|4|OUI|OUI|2022-06-13T15:09:44+02:00|2022-06-13T15:09:44+02:00|48.879406604954-2.3034455627202988|Paris|
17044|Porte de Saint-Ouen - Bessières|OUI|42|41|1|1|0|OUI|OUI|2022-06-13T15:10:16+02:00|2022-06-13T15:10:16+02:00|48.89792240854517-2.32851451022192|Paris|
13101|Croulebarde - Corvisart|OUI|34|28|5|3|2|OUI|OUI|2022-06-13T15:07:45+02:00|2022-06-13T15:07:45+02:00|48.830981659316855-2.3481646925210953|Paris|
19033|Cambrai - Benjamin Constant|OUI|43|40|1|0|1|OUI|OUI|2022-06-13T15:09:13+02:00|2022-06-13T15:09:13+02:00|48.89594736851349-2.381133802246315|Paris|
14108|Le Brix et Mesmin - Jourdan|OUI|21|17|3|1|2|OUI|OUI|2022-06-13T15:07:10+02:00|2022-06-13T15:07:10+02:00|48.82234096593411-2.327861653302471|Paris|
8050|Boétie - Ponthieu|OUI|33|4|27|11|16|OUI|OUI|2022-06-13T15:10:52+02:00|2022-06-13T15:10:52+02:00|48.871417284354834-2.307678759098053|Paris|
31024|Romainville - Vaillant-Couturier|OUI|38|35|2|0|2|OUI|OUI|2022-06-13T15:04:47+02:00|2022-06-13T15:04:47+02:00|48.86785-2.446748|Montreuil|
43002|Lagny - Victor Basch|OUI|26|6|20|16|4|OUI|OUI|2022-06-13T15:10:23+02:00|2022-06-13T15:10:23+02:00|48.84884147189881-2.426325418925233|Vincennes|
15026|Bir Hakeim|OUI|33|3|28|21|7|OUI|OUI|2022-06-13T15:10:14+02:00|2022-06-13T15:10:14+02:00|48.853844054333514-2.289705348222022|Paris|
21216|Louis Lejeune - Barbès|OUI|25|19|6|3|3|OUI|OUI|2022-06-13T15:04:45+02:00|2022-06-13T15:04:45+02:00|48.81807418981508-2.3267009854316716|Montrouge|
47007|Liberté - Vert-de-Maisons|OUI|20|9|11|1|10|OUI|OUI|2022-06-13T15:06:56+02:00|2022-06-13T15:06:56+02:00|48.79014780960843-2.43286281824112|Maisons-Alfort|
15068|Général Martial Valin - Pont du Garigliano|OUI|16|3|13|10|3|OUI|OUI|2022-06-13T15:02:50+02:00|2022-06-13T15:02:50+02:00|48.83823094269141-2.270506024360657|Paris|
20143|Ramponeau - Belleville|OUI|44|40|1|1|0|OUI|OUI|2022-06-13T15:09:10+02:00|2022-06-13T15:09:10+02:00|48.871031137596-2.379056852114|Paris|
13030|Italie - Tolbiac|OUI|21|20|1|0|1|OUI|OUI|2022-06-13T15:05:22+02:00|2022-06-13T15:05:22+02:00|48.82557229464416-2.3576171323657036|Paris|
16138|Saint-Cloud - Hippodrome|OUI|30|23|6|5|1|OUI|OUI|2022-06-13T15:08:16+02:00|2022-06-13T15:08:16+02:00|48.85772148887421-2.2549109905958176|Paris|
92002|Théâtre des Amandiers - Palais des sports|OUI|24|9|15|7|8|OUI|OUI|2022-06-13T15:08:13+02:00|2022-06-13T15:08:13+02:00|48.89264852683893-2.2136941552162175|Nanterre|
22207|Rond-point du Dr Albert Schweitzer|OUI|22|13|8|1|7|OUI|OUI|2022-06-13T15:08:02+02:00|2022-06-13T15:08:02+02:00|48.78980918988166-2.3143940046429634|Bagneux|
19027|Serrurier|OUI|18|17|0|0|0|OUI|OUI|2022-06-13T15:07:54+02:00|2022-06-13T15:07:54+02:00|48.8804934032465-2.39806417375803|Paris|
7004|Raspail - Varenne|OUI|18|3|13|12|1|OUI|OUI|2022-06-13T15:09:12+02:00|2022-06-13T15:09:12+02:00|48.85314781654488-2.3263905197381973|Paris|
44017|Jules Guesde - Pont du Port à l'Anglais|OUI|30|14|15|11|4|OUI|OUI|2022-06-13T15:09:34+02:00|2022-06-13T15:09:34+02:00|48.79628807093802-2.417212128639221|Vitry-sur-Seine|
6029|Vaugirard - Monsieur le Prince|OUI|26|10|16|13|3|OUI|OUI|2022-06-13T15:08:41+02:00|2022-06-13T15:08:41+02:00|48.848951441614176-2.3411329463124275|Paris|