Id,Cat,Carb(g),Sugars(g),Prot(g),fat(g),Calcium(mg),Carotene- beta (µg),Fatty acids- total saturated (g),Fatty acids- total trans (g),Folate(µg),Iodine(µg),Iron(mg),Magnesium(mg),omega6(g),omega3(g),Potassium(mg),Vit B12(µg),Vit C(mg)
99 Eggs- Grade A- Large- egg whole,2,0.96,0.2,12.4,9.96,48.0,0.0,3.2,0.0,71.0,49.1,1.67,11.4,1.46,0.0,132.0,1.02,0.0
100 Pork- cured- bacon- cooked- restaurant,15,2.1,3.14,40.9,36.5,13.0,0.0,12.6,0.15,0.0,0.0,1.28,36.5,5.23,0.227,557.0,0.0,0.0
101 Butter- stick- unsalted,2,0.0,0.0,0.0,81.5,14.0,0.0,0.0,0.0,0.0,0.0,0.03,1.6,0.0,0.0,19.0,0.0,0.0
102 Flour- wheat- all-purpose- enriched- bleached,5,77.3,0.0,10.9,1.48,19.0,0.0,0.0,0.0,160.0,0.0,5.62,26.7,0.0,0.0,136.0,0.0,0.0
103 Flour- wheat- all-purpose- enriched- unbleached,5,73.2,0.0,13.1,1.48,21.0,0.0,0.0,0.0,159.0,0.0,5.41,33.3,0.0,0.0,135.0,0.0,0.0
104 Flour- wheat- all-purpose- unenriched- unbleached,5,74.6,0.0,12.0,1.7,22.0,0.0,0.0,0.0,23.0,0.0,1.18,36.1,0.0,0.0,150.0,0.0,0.0
105 Flour- whole wheat- unenriched,5,71.2,0.0,15.1,2.73,38.0,0.0,0.0,0.0,39.0,0.0,3.86,136.0,0.0,0.0,376.0,0.0,0.0
106 Flour- bread- white- enriched- unbleached,5,72.8,0.0,14.3,1.65,19.0,0.0,0.0,0.0,145.0,0.0,5.55,35.9,0.0,0.0,127.0,0.0,0.0
107 Flour- rice- white- unenriched,5,79.8,0.0,6.94,1.3,6.0,0.0,0.0,0.0,16.0,0.0,0.22,22.9,0.0,0.0,75.0,0.0,0.0
108 Flour- corn- yellow- fine meal- enriched,5,80.8,1.04,6.2,1.74,0.0,0.0,0.0,0.0,155.0,0.0,4.44,30.1,0.0,0.0,144.0,0.0,0.0
109 Butter- stick- salted,2,0.0,0.58,0.0,82.2,21.0,168.0,45.6,0.0,5.0,0.0,0.06,1.6,1.89,0.308,23.0,0.0,0.0
110 Onions- red- raw,1,9.93,5.76,0.94,0.1,17.0,0.0,0.0,0.0,0.0,0.0,0.24,11.4,0.0,0.0,197.0,0.0,8.1
111 Onions- yellow- raw,1,8.61,5.82,0.83,0.05,15.0,0.0,0.0,0.0,0.0,0.0,0.28,9.0,0.0,0.0,182.0,0.0,8.2
112 Garlic- raw,1,28.2,0.0,6.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
113 Flour- soy- defatted,4,32.9,0.0,51.1,3.33,338.0,0.0,0.0,0.0,0.0,0.0,7.34,313.0,0.0,0.0,2480.0,0.0,0.0
114 Flour- soy- full-fat,4,27.9,0.0,38.6,20.7,258.0,0.0,0.0,0.0,0.0,0.0,9.51,254.0,0.0,0.0,1860.0,0.0,0.0
115 Flour- rice- brown,5,75.5,0.0,7.19,3.85,10.0,0.0,0.0,0.0,0.0,0.0,1.5,124.0,0.0,0.0,265.0,0.0,0.0
116 Flour- rice- glutinous,5,80.1,0.0,6.69,1.16,10.0,0.0,0.0,0.0,0.0,0.0,0.34,21.2,0.0,0.0,80.0,0.0,0.0
117 Flour- pastry- unenriched- unbleached,5,77.2,0.0,8.75,1.64,17.0,0.0,0.0,0.0,0.0,0.0,0.87,22.4,0.0,0.0,142.0,0.0,0.0
118 Onions- white- raw,1,7.68,5.76,0.89,0.13,21.0,0.0,0.0,0.0,0.0,0.0,0.15,9.3,0.0,0.0,141.0,0.0,0.0
119 Bananas- overripe- raw,3,20.1,15.8,0.73,0.22,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7
120 Bananas- ripe and slightly ripe- raw,3,23.0,15.8,0.74,0.29,5.0,8.0,0.0,0.0,14.0,0.0,0.0,28.0,0.0,0.0,326.0,0.0,12.3
121 Apples- red delicious- with skin- raw,3,14.8,12.2,0.188,0.212,4.66,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,95.3,0.0,0.0
122 Apples- fuji- with skin- raw,3,15.7,13.3,0.148,0.162,5.98,0.0,0.0,0.0,0.0,0.0,0.015,4.67,0.0,0.0,104.0,0.0,0.0
123 Apples- gala- with skin- raw,3,14.8,11.8,0.133,0.15,6.64,0.0,0.0,0.0,0.812,0.0,0.06,4.95,0.0,0.0,106.0,0.0,0.0
124 Apples- granny smith- with skin- raw,3,14.1,10.7,0.266,0.138,5.48,0.0,0.0,0.0,0.0,0.0,0.07,5.06,0.0,0.0,116.0,0.0,0.0
125 Apples- honeycrisp- with skin- raw,3,14.7,12.4,0.102,0.1,3.87,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,98.0,0.0,0.0
126 Oil- peanut,7,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.172,0.0,0.0,0.0,0.0,19.6,0.318,0.0,0.0,0.0
127 Oil- sunflower,7,0.0,0.0,0.0,0.0,0.0,0.0,8.99,0.116,0.0,0.0,0.0,0.0,20.5,0.163,0.0,0.0,0.0
128 Oil- safflower,7,0.0,0.0,0.0,0.0,0.0,0.0,7.65,0.129,0.0,0.0,0.0,0.0,13.6,0.15,0.0,0.0,0.0
129 Oil- olive- extra light,7,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.116,0.0,0.0,0.0,0.0,9.71,0.607,0.0,0.0,0.0
130 Mushroom- lion's mane,1,7.59,0.0,2.5,0.256,0.0,0.0,0.0,0.0,29.6,0.0,0.688,11.7,0.0,0.0,443.0,0.0,0.0
131 Mushroom- oyster,1,6.94,0.0,2.9,0.188,0.0,0.0,0.0,0.0,63.1,0.0,0.698,13.9,0.0,0.0,282.0,0.0,0.0
132 Mushrooms- shiitake,1,8.17,0.0,2.41,0.195,0.766,0.0,0.0,0.0,32.1,0.0,0.144,14.1,0.0,0.0,243.0,0.0,0.0
133 Mushrooms- white button,1,4.08,0.0,2.89,0.371,5.46,0.0,0.0,0.0,34.8,0.0,0.227,10.2,0.0,0.0,373.0,0.0,0.0
134 Soy milk- unsweetened- plain- shelf stable,4,1.29,0.557,3.55,2.12,101.0,0.0,0.314,0.0,19.7,0.0,0.542,21.5,0.988,0.166,158.0,0.393,0.0
135 Almond milk- unsweetened- plain- shelf stable,12,0.337,0.0,0.555,1.22,173.0,0.0,0.104,0.0,0.0,0.0,0.29,6.78,0.276,0.001,30.8,0.338,0.0
136 Spinach- baby,1,2.41,0.0,2.85,0.619,68.4,3400.0,0.0,0.0,116.0,0.0,1.26,92.9,0.0,0.0,582.0,0.0,26.5
137 Spinach- mature,1,2.64,0.0,2.91,0.604,66.6,3670.0,0.0,0.0,113.0,6.09,1.05,93.0,0.0,0.0,460.0,0.0,30.3
138 Tomato- roma,1,3.84,0.0,0.696,0.425,9.96,276.0,0.0,0.0,9.99,0.0,0.103,8.09,0.0,0.0,193.0,0.0,17.8
139 Flour- 00,5,74.4,0.0,11.4,1.52,18.7,0.0,0.0,0.0,13.5,0.0,0.986,25.8,0.0,0.0,136.0,0.0,0.0
140 Flour- spelt- whole grain,5,70.7,0.0,14.5,2.54,30.0,0.0,0.0,0.0,38.4,0.0,3.77,124.0,0.0,0.0,350.0,0.0,0.0
141 Flour- semolina- coarse and semi-coarse,5,73.8,0.0,11.7,1.6,17.2,0.0,0.0,0.0,168.0,0.0,1.55,35.2,0.0,0.0,174.0,0.0,0.0
142 Flour- semolina- fine,5,72.0,0.0,13.3,1.84,19.8,0.0,0.0,0.0,164.0,0.0,2.43,46.3,0.0,0.0,208.0,0.0,0.0
143 Apple juice- with added vitamin C- from concentrate- shelf stable,3,11.4,10.3,0.086,0.286,7.1,0.0,0.0,0.0,3.09,0.0,0.04,4.86,0.0,0.0,95.9,0.0,51.2
144 Orange juice- no pulp- not fortified- from concentrate- refrigerated,3,10.3,8.28,0.734,0.325,12.8,0.0,0.0,0.0,29.8,0.0,0.065,10.6,0.0,0.0,180.0,0.0,26.9
145 Grape juice- purple- with added vitamin C- from concentrate- shelf stable,3,15.6,14.0,0.258,0.288,9.74,0.0,0.0,0.0,0.664,0.0,0.041,7.87,0.0,0.0,49.8,0.0,45.6
146 Grape juice- white- with added vitamin C- from concentrate- shelf stable,3,15.8,14.4,0.094,0.265,7.32,0.0,0.0,0.0,1.73,0.0,0.119,4.27,0.0,0.0,49.0,0.0,55.2
147 Cranberry juice- not fortified- from concentrate- shelf stable,3,7.26,3.41,0.0,0.338,6.64,0.0,0.0,0.0,8.97,0.0,0.126,4.38,0.0,0.0,70.6,0.0,0.0
148 Grapefruit juice- red- not fortified- not from concentrate- refrigerated,3,9.1,7.12,0.57,0.267,8.88,0.0,0.0,0.0,19.0,0.0,0.015,7.75,0.0,0.0,128.0,0.0,24.1
149 Tomato juice- with added ingredients- from concentrate- shelf stable,1,4.32,2.57,0.859,0.288,9.74,0.0,0.0,0.0,18.9,0.0,0.299,10.4,0.0,0.0,198.0,0.0,49.8
150 Orange juice- no pulp- not fortified- not from concentrate- refrigerated,3,10.0,8.08,0.812,0.356,9.29,0.0,0.0,0.0,29.0,0.0,0.071,10.3,0.0,0.0,183.0,0.0,30.5
151 Mushroom- portabella,1,4.66,0.0,2.75,0.312,3.24,0.0,0.0,0.0,0.0,0.0,0.139,9.04,0.0,0.0,349.0,0.0,0.0
152 Mushroom- king oyster,1,8.5,0.0,2.41,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.338,13.5,0.0,0.0,294.0,0.0,0.0
153 Mushroom- enoki,1,8.14,0.0,2.42,0.245,1.43,0.0,0.0,0.0,0.0,0.0,1.28,12.8,0.0,0.0,402.0,0.0,0.0
154 Mushroom- crimini,1,4.01,0.0,3.09,0.197,4.1,0.0,0.0,0.0,0.0,0.0,0.312,10.2,0.0,0.0,380.0,0.0,0.0
155 Mushroom- maitake,1,6.6,0.0,2.2,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.209,11.0,0.0,0.0,260.0,0.0,0.0
156 Mushroom- beech,1,6.76,0.0,2.18,0.449,0.432,0.0,0.0,0.0,0.0,0.0,0.739,10.5,0.0,0.0,376.0,0.0,0.0
157 Mushroom- pioppini,1,5.76,0.0,3.5,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.486,16.0,0.0,0.0,392.0,0.0,0.0
158 Soy milk- unsweetened- plain- refrigerated,4,3.0,0.0,2.78,1.96,155.0,0.0,0.0,0.0,15.8,0.0,0.367,17.5,0.0,0.0,118.0,1.33,0.0
159 Almond milk- unsweetened- plain- refrigerated,12,0.671,0.0,0.656,1.56,158.0,0.0,0.0,0.0,0.0,0.0,0.125,8.25,0.0,0.0,49.3,0.449,0.0
160 Oat milk- unsweetened- plain- refrigerated,12,5.1,2.32,0.797,2.75,148.0,0.0,0.0,0.0,0.0,0.0,0.261,5.91,0.0,0.0,148.0,0.506,0.0
161 Carrots- mature- raw,1,10.3,0.0,0.941,0.351,30.5,0.0,0.0,0.0,37.1,0.0,0.15,12.4,0.0,0.0,280.0,0.0,0.0
162 Carrots- baby- raw,1,9.08,0.0,0.805,0.138,42.2,0.0,0.0,0.0,43.6,0.0,0.088,11.1,0.0,0.0,237.0,0.0,0.0
163 Peppers- bell- green- raw,1,4.78,0.0,0.715,0.106,7.5,0.0,0.0,0.0,22.2,0.0,0.186,9.0,0.0,0.0,163.0,0.0,99.5
164 Peppers- bell- yellow- raw,1,6.6,0.0,0.819,0.121,6.69,0.0,0.0,0.0,41.6,0.0,0.36,10.3,0.0,0.0,197.0,0.0,139.0
165 Peppers- bell- red- raw,1,6.65,0.0,0.896,0.126,6.36,0.0,0.0,0.0,47.3,0.0,0.353,11.0,0.0,0.0,213.0,0.0,142.0
166 Peppers- bell- orange- raw,1,6.7,0.0,0.882,0.156,4.9,0.0,0.0,0.0,0.0,0.0,0.365,10.4,0.0,0.0,201.0,0.0,158.0
167 Buttermilk- low fat,2,4.81,0.0,3.46,1.08,120.0,0.0,0.552,0.0,0.0,34.2,0.013,11.0,0.022,0.0,158.0,0.0,0.0
168 Yogurt- plain- whole milk,2,5.57,4.09,3.82,4.48,127.0,0.0,2.32,0.0,0.0,32.3,0.0,11.4,0.082,0.0,164.0,0.0,0.0
169 Yogurt- Greek- plain- whole milk,2,4.75,3.25,8.78,4.39,111.0,0.0,2.39,0.0,0.0,42.3,0.0,10.7,0.106,0.0,147.0,0.0,0.0
170 Cheese- parmesan- grated- refrigerated,2,4.33,0.638,30.1,29.5,950.0,0.0,17.2,0.0,0.0,82.9,0.14,35.4,0.674,0.0,74.0,0.0,0.0
171 Cheese- feta- whole milk- crumbled,2,5.58,1.63,19.7,19.1,371.0,0.0,11.2,0.0,0.0,48.4,0.068,17.7,0.424,0.0,105.0,0.0,0.0
172 Flour- almond,6,16.2,0.0,26.2,50.2,232.0,0.0,0.0,0.0,37.8,0.0,3.22,251.0,0.0,0.0,667.0,0.0,0.0
173 Flour- oat- whole grain,5,69.9,0.0,13.2,6.31,42.8,0.0,0.0,0.0,34.7,0.0,4.0,125.0,0.0,0.0,373.0,0.0,0.0
174 Flour- potato,1,79.9,0.0,8.11,0.951,44.1,0.0,0.0,0.0,41.2,0.0,12.0,73.6,0.0,0.0,1270.0,0.0,0.0
175 Peanut butter- creamy,4,22.7,0.0,24.0,49.4,49.8,0.0,8.42,0.0,97.3,0.0,1.85,193.0,9.73,0.0,654.0,0.0,0.0
176 Sesame butter- creamy,6,14.2,0.0,19.7,62.4,116.0,0.0,8.97,0.0,108.0,0.0,7.0,357.0,26.1,0.25,408.0,0.0,0.0
177 Almond butter- creamy,6,21.2,0.0,20.8,53.0,264.0,0.0,4.25,0.0,42.5,0.0,4.11,268.0,12.6,0.0,745.0,0.0,0.0
178 Flaxseed- ground,6,34.4,0.0,18.0,37.3,230.0,0.0,3.28,0.0,41.4,0.0,5.78,372.0,5.26,19.4,793.0,0.0,0.0
179 Cottage cheese- full fat- large or small curd,2,4.6,0.0,11.6,4.22,88.3,0.0,2.6,0.0,0.0,45.7,0.0,9.19,0.097,0.0,124.0,0.662,0.0
180 Cream cheese- full fat- block,2,4.56,0.0,5.79,33.5,97.1,0.0,19.7,0.0,0.0,34.9,0.0,8.91,0.708,0.0,125.0,0.0,0.0
181 Cream- heavy,2,3.8,0.0,2.02,35.6,61.2,0.0,20.4,0.0,0.0,19.4,0.0,5.97,0.749,0.0,96.9,0.0,0.0
182 Cream- sour- full fat,2,5.56,0.0,3.07,18.0,107.0,0.0,10.7,0.0,0.0,32.8,0.0,10.1,0.385,0.0,154.0,0.062,0.0
183 Lettuce- iceberg- raw,1,3.37,0.0,0.742,0.074,14.2,0.0,0.0,0.0,0.0,0.0,0.033,6.31,0.0,0.0,139.0,0.0,0.0
184 Lettuce- romaine- green- raw,1,4.06,0.0,0.977,0.071,27.6,0.0,0.0,0.0,0.0,0.0,0.267,12.0,0.0,0.0,260.0,0.0,0.0
185 Lettuce- leaf- red- raw,1,3.26,0.0,0.883,0.106,42.6,0.0,0.0,0.0,0.0,0.0,0.402,12.4,0.0,0.0,321.0,0.0,9.34
186 Lettuce- leaf- green- raw,1,4.07,0.0,1.09,0.156,39.8,0.0,0.0,0.0,0.0,0.0,0.32,12.8,0.0,0.0,277.0,0.0,15.2
187 Nuts- pine nuts- raw,6,18.6,0.0,15.7,61.3,8.74,0.0,0.0,0.0,0.0,0.0,5.36,206.0,0.0,0.0,655.0,0.0,0.0
188 Nuts- almonds- whole- raw,6,20.0,0.0,21.5,51.1,254.0,0.0,0.0,0.0,0.0,0.0,3.74,258.0,0.0,0.0,733.0,0.0,0.0
189 Nuts- walnuts- English- halves- raw,6,10.9,0.0,14.6,69.7,88.3,0.0,0.0,0.0,0.0,0.0,2.24,142.0,0.0,0.0,424.0,0.0,0.0
190 Nuts- pecans- halves- raw,6,12.7,0.0,9.96,73.3,54.8,0.0,0.0,0.0,0.0,0.0,2.37,103.0,0.0,0.0,360.0,0.0,0.0
191 Oats- whole grain- rolled- old fashioned,5,68.7,0.0,13.5,5.89,45.5,0.0,0.0,0.0,32.0,0.0,4.34,126.0,0.0,0.0,350.0,0.0,0.0
192 Oats- whole grain- steel cut,5,69.8,0.0,12.5,5.8,51.3,0.0,0.0,0.0,30.0,0.0,3.8,129.0,0.0,0.0,376.0,0.0,0.0
193 Pineapple- raw,3,14.1,11.4,0.461,0.211,12.5,0.0,0.0,0.0,0.0,0.0,0.054,13.4,0.0,0.0,137.0,0.0,58.6
194 Cherries- sweet- dark red- raw,3,16.2,13.9,1.04,0.192,12.3,0.0,0.0,0.0,0.0,0.0,0.105,12.1,0.0,0.0,230.0,0.0,10.4
195 Beans- snap- green- raw,1,7.41,2.33,1.97,0.275,40.0,0.0,0.0,0.0,0.0,0.0,0.652,28.2,0.0,0.0,290.0,0.0,0.0
196 Potatoes- russet- without skin- raw,1,17.8,0.526,2.27,0.36,7.8,0.0,0.0,0.0,0.0,0.0,0.384,25.6,0.0,0.0,450.0,0.0,10.9
197 Potatoes- red- without skin- raw,1,16.3,0.664,2.06,0.248,5.13,0.0,0.0,0.0,0.0,0.0,0.391,23.6,0.0,0.0,472.0,0.0,21.3
198 Potatoes- gold- without skin- raw,1,16.0,0.645,1.81,0.264,5.94,0.0,0.0,0.0,0.0,0.0,0.373,22.3,0.0,0.0,446.0,0.0,23.3
199 Sweet potatoes- orange flesh- without skin- raw,1,17.3,6.06,1.58,0.375,22.3,0.0,0.0,0.0,0.0,0.0,0.398,19.1,0.0,0.0,486.0,0.0,14.8
200 Celery- raw,1,3.32,0.0,0.492,0.162,46.3,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,265.0,0.0,0.0
201 Cucumber- with peel- raw,1,2.95,0.0,0.625,0.178,16.3,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,170.0,0.0,0.0
202 Cabbage- green- raw,1,6.38,0.0,0.961,0.228,41.8,0.0,0.0,0.0,0.0,0.0,0.066,13.9,0.0,0.0,207.0,0.0,40.3
203 Cabbage- red- raw,1,6.79,0.0,1.24,0.214,31.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,269.0,0.0,53.9
204 Strawberries- raw,3,7.96,4.86,0.641,0.22,16.9,0.0,0.0,0.0,0.0,0.0,0.255,12.5,0.0,0.0,161.0,0.0,59.6
205 Raspberries- raw,3,12.9,2.68,1.01,0.188,16.4,0.0,0.0,0.0,0.0,0.0,0.45,19.2,0.0,0.0,156.0,0.0,23.0
206 Blueberries- raw,3,14.6,9.36,0.703,0.306,11.7,0.0,0.0,0.0,0.0,0.0,0.34,6.18,0.0,0.0,85.6,0.0,8.06
207 Grapes- red- seedless- raw,3,20.2,17.3,0.914,0.164,10.2,0.0,0.0,0.0,0.0,0.0,0.162,8.56,0.0,0.0,229.0,0.0,3.31
208 Grapes- green- seedless- raw,3,18.6,16.1,0.899,0.232,9.9,0.0,0.0,0.0,0.0,0.0,0.199,7.12,0.0,0.0,218.0,0.0,3.02
209 Applesauce- unsweetened- with added vitamin C,3,12.3,9.66,0.273,0.162,3.82,0.0,0.0,0.0,0.0,0.0,0.045,3.94,0.0,0.0,108.0,0.0,43.7
