;Volcano;Event;Magnitude;VEI;SampleID;SampleObservationID;Location;Longitude;Authors;DOI;TypeOfRegister;TypeOfAnalysis;AnalyzedMaterial;AnalyticalTechnique;TypeOfSection;Latitude;SectionID;Flag;HistoricalAge;SiO2;TiO2;Al2O3;FeOT;MnO;MgO;CaO;Na2O;K2O;P2O5
3787;Hudson;HW3;;;Opr-3;Opr-3-16;;-73.67;Haberle & Lumley, 1998;https://doi.org/10.1016/S0377-0273(98)00037-7;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-44.37;Laguna Oprasa;SampleID_Issue;;54.085;1.726;14.818;10.119;;4.233;7.594;3.532;1.089;
10222;Monte Burney;Unknown;;;T-33;LPA7_T33-38.698m_29;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;;;71.76648329;0.331904486;12.86944491;1.446493554;0.020270422;0.318075133;1.923890418;4.169834275;1.559117536;0.047834408
6093;Melimoyu;La Junta;;5.0;MM-1;MM-1-07;;-72.46178;Geoffroy et al., 2018;https://doi.org/10.1016/j.quascirev.2018.09.034;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-44.14278;Puente Los Cesares;EventName_Issue;;69.23;0.45;17.5;2.29;0.13;0.5;1.43;5.47;2.75;
13139;Quetrupillán;Puesco;4.4;4.0;CLD177B;Qu10-B-20;;-71.54839201;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.49497001;CLD177;;;67.28745426;0.80285257;15.18412441;3.937180993;0.202214737;0.818869578;2.391539637;4.546828393;3.459673916;0.246261511
3002;Chaitén;Cha1;5.5;5.0;13-1C;13-1C-26;;-72.449113;Watt et al., 2011b;https://doi.org/10.1016/j.quaint.2011.05.029;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.066959;;SampleID_Issue;;73.7231;0.1078;13.6103;1.1452;0.1298;0.1789;1.1774;3.99;2.9629;
14427;Unknown;Unknown;;;CALA01-59;LC1C_19;Lago Calafquen;-72.219;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.546;CALA01;;;55.7025;1.3968;15.395;9.2082;0.1899;4.0792;7.6485;4.0848;1.0328;0.2875
15963;Villarrica;Unknown;;;CAL2A-VI-70.5;LC5-B_10;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CAL2;;;55.8535;1.5171;13.002;11.1245;0.1963;5.0024;7.68;3.2587;1.1985;0.279
904;Chaitén;Vcha-2008;;;1101SC1 8-9 cm;12-01-2/6;;-72.70622;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-42.90225;Lago Teo;Geochemistry_Issue;2008;76.37745;0.155;13.957757;1.459124;0.0;0.246;1.353;3.201264;3.063166;
5162;Llaima;Unknown;;;JK195a;JK195a-13;;-71.63;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.77;C260;;;65.22;0.8783;15.55;6.64;0.2138;1.1934;4.24;5.06;1.43;0.2324
10871;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-2;13-19-2-23;Bariloche (BSI),  km 7.600;-71.401777;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-41.13;;;2011;;;;;;;;;;
13288;Quetrupillán;Unknown;;;CLD184D;Qu12-D-16;;-71.63152901;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.38500204;CLD184;;;67.41835998;0.807915068;15.15716744;3.987516376;0.0;0.866981969;2.386703249;4.614226206;3.477939214;0.168190497
6022;Llaima;Llaima Pumice;;;LLA6;LLA6;;-71.62613;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Bulk;Whole rock;XRF;Outcrop;-38.76943;CH001;Geochemistry_Issue;;59.36;1.16;16.74;;0.17;2.42;5.49;4.87;1.0;0.31
6047;Macá;MAC1;;;T-35;LPA7_T35-55.931m_15;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;SampleID_Issue;;66.01684388;0.47847042;13.99039272;2.712174758;0.02283779;0.719483983;2.919680415;4.019263845;2.39834234;0.123455103
12570;Quetrupillán;Quet3;3.0;3.0;CLD163D;Qu04-Gb-14;;-71.52932804;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.55901102;CLD163;;;68.19777358;0.733492312;14.94503094;3.505352753;0.109073209;0.801537983;2.351578353;4.405957229;3.12509753;0.158106119
16184;Villarrica;Unknown;;;CLD056B;12F1-D_9;;-71.86922089;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.33912979;CLD056;;;57.2619;1.5701;14.3323;10.4816;0.1605;3.5239;6.663;3.5789;1.1266;0.3126
4087;Hudson;H1;;;B-3;LPA_9.904m_3;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;;;64.37705701;1.212403715;15.68740486;4.584354959;0.055556495;1.341406094;2.738766224;5.991156711;2.920244147;0.332046956
692;Carrán-Los Venados;Riñinahue1907;;;54.5-55 cm;84;Lago Puyehue;-72.365893;Bertrand et al., 2008;https://doi.org/10.1016/j.yqres.2008.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-40.664295;PU-I-P1;;1907;72.69;0.35;13.74;1.39;;0.07;2.09;4.49;2.04;
11738;Puyehue-Cordón Caulle;Mil Hojas;5.0;5.0;CLD252B;IT'-VI-F_15;;-71.70500703;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.59822301;CLD252;;;69.3007;0.6456;14.1118;3.7627;0.1051;0.5076;1.9796;5.4338;2.8566;0.1441
1271;Chaitén;Vcha-2008;;;Esquel-05-05-2008;08-1_6 14;Esquel;-71.32277778;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.91111111;;Geochemistry_Issue;2008;75.1634373;0.129;13.8191407;1.1556843;0.065;0.251;1.213221;3.946813;3.18380086;
5597;Llaima;Unknown;;;JK227;JK227-9;;-71.61;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.77;C265;;;56.61;1.5028;15.48;10.24;0.1572;3.54;7.64;4.04;1.0412;0.2645
1571;Chaitén;Unknown;;;-12,00 LTT;13-21-3-19;;-72.70622;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Lake core;-42.90225;Lago Teo;;;;;;;;;;;;
7814;Mocho-Choshuenco;Neltume;5.7;;040114-2B;6F1_2;;-72.068;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.529;040114-2;EventName_Issue;;69.9109;0.4738;15.5511;2.9633;0.0597;0.6268;2.0416;5.8825;2.4412;0.0991
2691;Chaitén;Vcha-2008;;;SC-T1;15-01-6-1;Lago Pinto, Futaleufú;-71.90211;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-43.15761;Lago Pinto, Futaleufú;Geochemistry_Issue;2008;75.033;0.152892;13.884;1.233;0.294;0.061;1.38;3.753078;3.039036;
16389;Villarrica;Unknown;;;LR0901B-T5-1;LRa1-D_8;Laguna Las Ranas;-72.087;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.189;LR0901B;;;55.4975;1.1927;17.4229;8.3679;0.2382;3.3337;8.469;3.8434;0.8449;0.2792
15499;Unknown;Unknown;;;-20,00 LTT;08-7_2 5;;-72.70622;Moreno et al., 2015;https://doi.org/10.1130/G36248.1;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-42.90225;Lago Teo;VolcanicSource_Issue;;67.52889253;0.56593213;16.14431147;3.863605344;0.099932253;0.754225534;2.546134817;5.102231318;3.394734603;
13718;Reclus;R1;;;PROXAVZ1-R1-RioTurbio;PROXAVZ1-R1-RioTurbio_19;Río Turbo;-72.0;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-51.0;;;;73.38621728;0.119119967;12.50750098;1.157834611;0.021223622;0.162618832;1.361657862;4.04998329;2.622264515;0.022753252
12161;Puyehue-Cordón Caulle;Unknown;;;RIN2B-III-22.5;2T3_2;Lago Riñihue;-72.389;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.816;RIN2;;;67.08718845;0.773158362;15.0886577;4.134028381;0.059697161;0.632729806;3.120679094;5.03870079;2.142186538;0.168173713
939;Chaitén;Cha1;;;8J13S2-T2;13-05-29-8;;-72.66;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-41.74;Puelche;Geochemistry_Issue;;73.888482;0.099;13.110216;1.384992;0.177;0.047;1.032993;3.477006;2.888912;
6977;Michinmahuida;Unknown;;;AA040311-1R;AA040311-1R;;-72.33933;Amigo et al., 2013;https://doi.org/10.5027/andgeoV40n2-a03;Pyroclastic material;Bulk;Bulk scoria;XRF, ICP-MS;Outcrop;-42.88833;Mallines;Geochemistry_Issue, Outlier;;;;;;;;;;;
3976;Hudson;Hudson1991;;;210B;#3;;-72.70028;Kratzmann et al., 2008;https://doi.org/10.1007/s00445-008-0234-x;Pyroclastic material;Micro Analytical;Melt inclusion;EMP, ICP-MS;Outcrop;-46.165;28;Geochemistry_Issue;1991;62.67;1.06;16.16;4.5;0.17;1.31;2.87;6.45;2.78;0.29
12923;Quetrupillán;Quet1;3.0;3.0;CLD168R;Qu08-F_22;;-71.54553797;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.50296802;CLD168;;;71.8431;0.411;14.9345;2.3349;0.0589;0.2997;1.2496;5.1372;3.9552;0.062
2401;Chaitén;Vilcún;;;S11-6;12-07-2-06;;-72.67638889;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.81027778;Section 11;;;;;;;;;;;;
14265;Unknown;Unknown;;;CAL2A-IV-41.5;LC13-C_18;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CAL2;;;58.2438;1.8826;14.4638;10.4309;0.1872;2.7552;5.975;3.9771;1.2683;0.3789
10838;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-19;PCC-19_11;National Route 40, Villa Llanquin;-71.016003;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.880955;;Geochemistry_Issue;2011;73.078222;0.429226;14.044674;3.124366;0.069874;0.369334;1.337588;4.052692;3.14433;
8243;Mocho-Choshuenco;Huilo;5.3;5.0;100114-3D;6F6_25;;-71.815;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.986;100114-3;EventName_Issue;;66.1243;0.8351;15.6486;3.694;0.1605;1.0343;2.9737;6.0748;1.7917;0.1572
6966;Michinmahuida;Unknown;;;Sec 1 Unk Rep 2;Sec 1 Unk Rep 2;;-72.429111;Alloway et al., 2017b;https://doi.org/10.1002/jqs.2976;Pyroclastic material;Bulk;Bulk tephra;SN-ICP-MS;Outcrop;-43.163694;Section 1;VolcanicSource_Issue;;;;;;;;;;;
11895;Puyehue-Cordón Caulle;Mil Hojas;5.0;5.0;CLD325B;PI-E-4;;-72.14097697;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.65772799;CLD325;;;67.3086;0.7304;14.2963;4.0908;0.1511;0.6669;2.3069;5.0115;2.6523;0.1858
4389;Hudson;Ho;;;CS-2705;CS-2705;Laguna Churrasco;-71.821028;Weller et al., 2015;https://doi.org/10.1007/s00445-015-0991-2;Pyroclastic material;Bulk;Bulk tephra;ICP-MS;Lake core;-45.690114;PC1201 A;;;;;;;;;;;;
9611;Mocho-Choshuenco;Neltume;5.7;;150114-7A;3F6_10;;-71.969;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.814;150114-7;EventName_Issue;;69.9743;0.4187;14.6176;3.4799;0.1096;0.5986;1.9976;5.6313;2.2424;0.0959
8581;Mocho-Choshuenco;MC19;3.0;;116_10d;116_10d_16;;-71.913299;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.868816;;;;64.4334;0.95;15.4127;4.4107;0.1023;1.2264;3.7283;5.5238;1.6;0.2764
16381;Villarrica;Unknown;;;LR0901B-T5-1;LRa1-D_19;Laguna Las Ranas;-72.087;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.189;LR0901B;;;58.8292;1.358;15.6799;9.3716;0.1574;3.0619;6.1932;4.1578;1.305;0.3529
14700;Unknown;Unknown;;;CLD415D;FXV-V-B_10;;-72.24268399;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.89698003;CLD415;;;68.8713;0.3688;14.9853;3.5103;0.0936;0.3485;2.2822;5.0471;2.1483;0.0242
16734;Yate;Unknown;;;YLL-8;YLL-8;;-72.424354;Mella, 2008;https://doi.org/10.11606/T.44.2009.tde-04032009-091537;Effusive material;Bulk;Whole rock;XRF, ICP-MS;Outcrop;-41.748802;;;;52.12;1.2;19.59;;0.16;3.25;9.6;3.32;0.7;0.18
12464;Quetrupillán;Puesco;4.4;4.0;CLD038B;12F4-C_28;;-71.55060178;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.5239036;CLD038;;;66.8422;0.9105;15.5103;4.1168;0.1739;0.9067;2.4752;5.1405;3.441;0.2537
1683;Chaitén;Unknown;;;-2,00 LTT;12-01-4-05;;-72.70622;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Lake core;-42.90225;Lago Teo;;;;;;;;;;;;
4152;Hudson;H1;;;PROXAVZ1-H1-93-21G;PROXAVZ1-H1-93-21G_21;Río Chico;-68.7;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-53.55;;;;63.69226218;1.163846591;16.09188043;4.656777216;0.164021402;1.354393561;2.820949547;6.044551268;2.837441099;0.365893896
2356;Chaitén;Cha1;;;Raya-1;13-02-1-04;Río Raya;-72.64138889;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.79944444;Río Raya;;;;;;;;;;;;
5109;Llaima;1640 Llaima;;;31;31;;-71.73;Reubi et al., 2011;https://doi.org/10.1016/j.epsl.2010.12.018;Effusive material;Bulk;Lava;XRF, ICP-MS;Outcrop;-38.7;;Position_Issue, Geochemistry_Issue;1640;;;;;;;;;;
4947;Llaima;Curacautín;;;LL9-1;LL9-1;;-71.8675;Lohmar, 2008;https://www.theses.fr/2008CLF21851;Pyroclastic material;Bulk;Bulk tephra;ICP-AES;Outcrop;-38.779202;;DOI_Issue;;57.0;1.4;15.6;;0.39;2.45;5.8;4.45;0.94;0.32
6899;Michinmahuida;Lepué;;;LAZ-T7A;12-05-4-09;La Zeta, Esquel;-71.36472222;Alloway et al., 2017b;https://doi.org/10.1002/jqs.2976;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.89083333;La Zeta, Esquel;;;;;;;;;;;;
4516;Lautaro;Lautaro1959-60;;;Laut-GEM10;Laut-GEM10_9;Laguna Gemelas;-72.8985;Mayr et al., 2019;https://doi.org/10.1007/s10933-019-00088-y;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-49.3849;GEM17-1;;1943-1968;74.54691367;0.240055223;13.54869301;1.504484884;0.073969928;0.300540017;2.061837388;3.638904025;3.038022301;0.031828883
5991;Llaima;Unknown;;;JK284;JK284;;-71.6244;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Bulk;Whole rock;XRF;Outcrop;-38.7138;Llaima lava <3000;Geochemistry_Issue;;59.38;1.33;16.09;;0.17;2.54;5.94;4.27;1.08;0.32
625;Calbuco;Calbuco 1792;;;XG0119B;XG0119B;;-72.593458;Sellés & Moreno, 2011;https://www.researchgate.net/publication/299344520_Geologia_del_volcan_Calbuco_Region_de_Los_Lagos_Text;Organic matter;Micro Analytical;Charcoal;Accelerator Mass Spectrometry;Outcrop;-41.432673;;DOI_Issue;;;;;;;;;;;
11006;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-7;PCC-7_2;Villa La Angostura (VLA), Gendarmería;-71.526204;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.678596;;Geochemistry_Issue;2011;72.381265;0.489265;14.27855;3.29505;0.109835;0.43934;1.43784;4.31352;2.945575;
12800;Quetrupillán;Puesco;4.4;4.0;CLD168B;Qu06-F_17;;-71.54553797;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.50296802;CLD168;;;66.8005;0.9344;14.9543;4.1568;0.1449;0.8907;2.3894;5.0858;3.4946;0.2163
11266;Puyehue-Cordón Caulle;PCC2;4.9;5.0;CAL3B-II-69;LC16-D_7;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CAL3;;;71.3035;0.3421;13.652;3.064;0.1143;0.1392;1.2149;5.0685;3.4517;0.0358
3091;Chaitén;Vcha-2008;;;Cha 2008;F9ao-2;;-72.69;Watt et al., 2013;https://doi.org/10.5027/andgeoV40n2-a02;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.81;-2,00 F;Geochemistry_Issue;2008;;;;;;;;;;
11885;Puyehue-Cordón Caulle;Mil Hojas;5.0;5.0;CLD325B;PI-E-15;;-72.14097697;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.65772799;CLD325;;;67.7806;0.7328;13.9993;4.09;0.1881;0.6866;2.1992;4.9226;2.7405;0.145
11019;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-8;13-19-5-05;Arroyo Ragintuco;-71.510465;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-40.861998;;;2011;;;;;;;;;;
8714;Mocho-Choshuenco;Huilo;5.3;5.0;120114-13G;5F2_11;;-71.933;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.994;120114-13;EventName_Issue;;60.6152;1.1146;16.7393;6.54;0.1866;2.3221;5.2112;5.5327;1.3219;0.3883
3601;Hudson;HW6;;;AA-10299;AA-10299;;-74.48;Haberle & Lumley, 1998;https://doi.org/10.1016/S0377-0273(98)00037-7;Organic matter;Micro Analytical;;Accelerator Mass Spectrometry;Lake core;-46.43;Laguna Six minutes;;;;;;;;;;;;
10579;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-11;13-20-1-16;Población Gonález,  La Lipela;-71.136627;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-40.750952;;;2011;;;;;;;;;;
1685;Chaitén;Unknown;;;-2,00 LTT;12-01-4-07;;-72.70622;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Lake core;-42.90225;Lago Teo;;;;;;;;;;;;
16054;Villarrica;Pucón;5.7;5.0;CLD026C;12F1-C_19;;-71.97945353;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.31208019;CLD026;;;56.1965;1.4262;16.0652;8.6666;0.1135;2.7023;6.8883;3.4513;0.8163;0.2984
11228;Puyehue-Cordón Caulle;PCC2;4.9;5.0;CAL3B-II-69;CL'-C_18;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CAL3;;;71.3985;0.2487;13.6177;2.6906;0.1227;0.122;1.3948;5.093;3.1125;0.0
13708;Reclus;R1;;;PROXAVZ1-R1-90-06;PROXAVZ1-R1-90-06_28;Pampa Alegre (Rio Seco);-70.85;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-53.066667;;;;74.74500401;0.073928772;12.75358864;1.310873857;0.012742986;0.173829889;1.348227342;4.053631298;2.566982058;0.044259989
1305;Chaitén;Vcha-2008;;;Esquel-05-05-2008;13-23-3-20;Esquel;-71.32277778;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.91111111;;;2008;;;;;;;;;;
